"Date","Price","Open","High","Low","Vol.","Change %"
"19/02/2025","5,461.17","5,530.54","5,539.97","5,453.51","23.58M","-1.31%"
"18/02/2025","5,533.84","5,531.53","5,544.12","5,506.57","21.73M","0.25%"
"17/02/2025","5,519.83","5,496.87","5,524.27","5,489.81","16.92M","0.48%"
"14/02/2025","5,493.40","5,496.67","5,520.58","5,483.20","25.07M","-0.13%"
"13/02/2025","5,500.50","5,424.38","5,502.11","5,424.38","25.97M","1.75%"
"12/02/2025","5,405.65","5,399.90","5,414.14","5,366.00","29.85M","0.27%"
"11/02/2025","5,390.91","5,360.01","5,394.86","5,356.23","25.70M","0.61%"
"10/02/2025","5,358.30","5,328.54","5,365.03","5,328.54","20.50M","0.62%"
"07/02/2025","5,325.40","5,348.37","5,358.66","5,317.17","25.72M","-0.58%"
"06/02/2025","5,356.63","5,279.38","5,363.14","5,279.38","35.73M","1.62%"
"05/02/2025","5,271.12","5,262.00","5,271.12","5,242.88","20.22M","0.12%"
"04/02/2025","5,264.59","5,226.16","5,267.59","5,191.62","27.86M","0.89%"
"03/02/2025","5,217.91","5,228.61","5,228.67","5,174.01","31.04M","-1.30%"
"31/01/2025","5,286.87","5,291.41","5,314.29","5,273.49","22.05M","0.09%"
"30/01/2025","5,282.21","5,248.50","5,285.22","5,248.50","23.61M","0.99%"
"29/01/2025","5,230.66","5,197.67","5,244.47","5,185.23","25.67M","0.67%"
"28/01/2025","5,195.71","5,189.93","5,219.49","5,179.49","22.04M","0.14%"
"27/01/2025","5,188.45","5,212.89","5,223.10","5,131.76","25.31M","-0.59%"
"24/01/2025","5,219.37","5,229.61","5,260.28","5,209.65","25.91M","0.04%"
"23/01/2025","5,217.50","5,212.30","5,220.84","5,184.83","20.59M","0.22%"
"22/01/2025","5,205.83","5,166.30","5,228.98","5,166.30","21.16M","0.77%"
"21/01/2025","5,165.96","5,162.36","5,171.23","5,151.83","20.53M","0.03%"
"20/01/2025","5,164.44","5,150.76","5,183.28","5,142.60","24.73M","0.31%"
"17/01/2025","5,148.30","5,118.31","5,158.63","5,118.31","30.78M","0.81%"
"16/01/2025","5,106.93","5,065.23","5,107.32","5,065.23","25.07M","1.48%"
"15/01/2025","5,032.31","4,980.21","5,051.69","4,975.39","26.49M","1.04%"
"14/01/2025","4,980.47","4,978.51","5,014.30","4,974.03","24.05M","0.53%"
"13/01/2025","4,954.21","4,964.78","4,964.78","4,916.87","20.15M","-0.46%"
"10/01/2025","4,977.26","5,013.56","5,031.56","4,970.79","23.93M","-0.81%"
"09/01/2025","5,017.91","4,982.75","5,022.15","4,967.62","17.48M","0.43%"
"08/01/2025","4,996.39","5,013.34","5,036.24","4,966.44","25.78M","-0.31%"
"07/01/2025","5,011.82","4,987.38","5,030.83","4,969.30","23.98M","0.50%"
"06/01/2025","4,986.64","4,893.32","4,986.64","4,893.19","27.33M","2.36%"
"03/01/2025","4,871.45","4,915.54","4,917.34","4,861.12","17.72M","-0.94%"
"02/01/2025","4,917.88","4,890.54","4,917.88","4,845.89","19.06M","0.45%"
"31/12/2024","4,895.98","4,866.22","4,896.02","4,860.86","12.40M","0.55%"
"30/12/2024","4,869.28","4,890.52","4,904.08","4,862.16","","-0.60%"
"27/12/2024","4,898.88","4,854.16","4,898.88","4,847.89","","0.84%"
"24/12/2024","4,857.86","4,857.79","4,868.36","4,857.79","11.01M","0.10%"
"23/12/2024","4,852.93","4,859.04","4,862.51","4,832.15","13.21M","-0.19%"
"20/12/2024","4,862.28","4,861.59","4,872.66","4,803.20","52.54M","-0.34%"
"19/12/2024","4,879.00","4,916.32","4,916.32","4,869.11","23.12M","-1.58%"
"18/12/2024","4,957.28","4,945.61","4,970.35","4,940.30","22.98M","0.30%"
"17/12/2024","4,942.58","4,936.52","4,966.14","4,922.34","23.94M","-0.09%"
"16/12/2024","4,947.03","4,963.88","4,963.88","4,940.39","23.76M","-0.42%"
"13/12/2024","4,967.95","4,964.08","4,996.96","4,955.29","20.68M","0.05%"
"12/12/2024","4,965.53","4,964.17","4,974.90","4,953.21","24.88M","0.12%"
"11/12/2024","4,959.35","4,947.44","4,966.23","4,940.08","21.65M","0.15%"
"10/12/2024","4,951.74","4,979.17","4,979.17","4,949.32","21.32M","-0.68%"
"09/12/2024","4,985.46","4,991.84","5,007.70","4,974.05","23.03M","0.15%"
"06/12/2024","4,977.78","4,953.93","4,985.22","4,944.29","23.20M","0.53%"
"05/12/2024","4,951.58","4,914.06","4,954.92","4,912.75","29.75M","0.66%"
"04/12/2024","4,919.02","4,884.94","4,929.53","4,884.52","22.68M","0.83%"
"03/12/2024","4,878.51","4,854.14","4,902.04","4,854.14","25.25M","0.66%"
"02/12/2024","4,846.73","4,785.15","4,848.87","4,764.38","27.36M","0.88%"
"29/11/2024","4,804.40","4,754.62","4,810.49","4,741.89","23.07M","0.96%"
"28/11/2024","4,758.65","4,759.22","4,781.09","4,747.37","15.60M","0.54%"
"27/11/2024","4,733.15","4,752.43","4,752.43","4,705.97","23.57M","-0.61%"
